BlueUp-01-016166,28-11-2017,15:30:14,-62
BlueUp-01-016167,28-11-2017,15:30:15,-44
BlueUp-01-016166,28-11-2017,15:30:16,-61
BlueUp-01-016167,28-11-2017,15:30:17,-67
BlueUp-01-016166,28-11-2017,15:30:18,-88
BlueUp-01-016166,28-11-2017,15:30:20,-81
BlueUp-01-016167,28-11-2017,15:30:21,-89
BlueUp-01-016166,28-11-2017,15:30:22,-80
BlueUp-01-016167,28-11-2017,15:30:23,-72
BlueUp-01-016166,28-11-2017,15:30:24,-82
BlueUp-01-016167,28-11-2017,15:30:25,-68
BlueUp-01-016166,28-11-2017,15:30:26,-78
BlueUp-01-016167,28-11-2017,15:30:31,-78
BlueUp-01-016166,28-11-2017,15:30:32,-82
BlueUp-01-016167,28-11-2017,15:30:33,-76
BlueUp-01-016166,28-11-2017,15:30:34,-93
BlueUp-01-016167,28-11-2017,15:31:11,-93
BlueUp-01-016166,28-11-2017,15:31:12,-86
BlueUp-01-016167,28-11-2017,15:31:13,-85
BlueUp-01-016166,28-11-2017,15:31:16,-93
BlueUp-01-016166,28-11-2017,15:31:18,-92
BlueUp-01-016167,28-11-2017,15:31:19,-88
BlueUp-01-016166,28-11-2017,15:31:20,-89
BlueUp-01-016166,28-11-2017,16:22:16,-102
BlueUp-01-016167,28-11-2017,16:22:23,-99
BlueUp-01-016166,28-11-2017,16:22:26,-103
BlueUp-01-016167,28-11-2017,16:22:51,-97
BlueUp-01-016167,28-11-2017,16:22:53,-93
BlueUp-01-016166,28-11-2017,16:28:44,-98
BlueUp-01-016167,28-11-2017,16:32:15,-99
BlueUp-01-016166,28-11-2017,16:32:54,-95
BlueUp-01-016167,28-11-2017,16:33:5,-93
BlueUp-01-016166,28-11-2017,16:33:42,-96
BlueUp-01-016167,28-11-2017,16:33:43,-101
BlueUp-01-016166,28-11-2017,16:33:46,-95
BlueUp-01-016167,28-11-2017,16:33:57,-93
BlueUp-01-016167,28-11-2017,16:34:1,-94
BlueUp-01-016166,28-11-2017,16:34:2,-93
BlueUp-01-016167,28-11-2017,16:34:3,-97
BlueUp-01-016166,28-11-2017,16:34:4,-93
BlueUp-01-016167,28-11-2017,16:34:5,-97
BlueUp-01-016167,28-11-2017,16:34:7,-101
BlueUp-01-016167,28-11-2017,16:34:9,-97
BlueUp-01-016167,28-11-2017,16:34:19,-97
BlueUp-01-016166,28-11-2017,16:34:20,-98
BlueUp-01-016166,28-11-2017,16:34:36,-99
BlueUp-01-016167,28-11-2017,16:34:43,-99
BlueUp-01-016166,28-11-2017,16:34:48,-88
BlueUp-01-016167,28-11-2017,16:34:49,-99
BlueUp-01-016166,28-11-2017,16:34:50,-97
BlueUp-01-016167,28-11-2017,16:34:51,-100
BlueUp-01-016167,28-11-2017,16:34:55,-87
BlueUp-01-016166,28-11-2017,16:34:56,-100
BlueUp-01-016167,28-11-2017,16:34:57,-89
BlueUp-01-016166,28-11-2017,16:34:58,-90
BlueUp-01-016166,28-11-2017,16:35:0,-96
BlueUp-01-016167,28-11-2017,16:35:1,-92
BlueUp-01-016167,28-11-2017,16:35:3,-98
BlueUp-01-016166,28-11-2017,16:35:4,-86
BlueUp-01-016167,28-11-2017,16:35:5,-95
BlueUp-01-016167,28-11-2017,16:35:7,-85
BlueUp-01-016166,28-11-2017,16:35:10,-97
BlueUp-01-016166,28-11-2017,16:35:12,-99
BlueUp-01-016167,28-11-2017,16:35:13,-91
BlueUp-01-016166,28-11-2017,16:35:14,-96
BlueUp-01-016167,28-11-2017,16:35:17,-98
BlueUp-01-016166,28-11-2017,16:35:18,-95
BlueUp-01-016167,28-11-2017,16:35:19,-91
BlueUp-01-016166,28-11-2017,16:35:22,-97
BlueUp-01-016167,28-11-2017,16:35:25,-96
BlueUp-01-016166,28-11-2017,16:35:26,-98
BlueUp-01-016167,28-11-2017,16:35:27,-90
BlueUp-01-016166,28-11-2017,16:35:28,-98
BlueUp-01-016167,28-11-2017,16:35:31,-96
BlueUp-01-016167,28-11-2017,16:35:37,-97
BlueUp-01-016167,28-11-2017,16:35:47,-99
BlueUp-01-016167,28-11-2017,16:36:5,-101
BlueUp-01-016167,28-11-2017,16:36:7,-97
BlueUp-01-016166,28-11-2017,16:36:8,-87
BlueUp-01-016167,28-11-2017,16:36:15,-99
BlueUp-01-016167,28-11-2017,16:37:21,-96
BlueUp-01-016167,28-11-2017,16:37:25,-96
BlueUp-01-016166,28-11-2017,16:42:2,-96
BlueUp-01-016166,28-11-2017,16:42:18,-97
BlueUp-01-016166,28-11-2017,16:42:20,-97
BlueUp-01-016167,28-11-2017,16:42:27,-102
BlueUp-01-016166,28-11-2017,16:42:40,-99
BlueUp-01-016167,28-11-2017,16:42:41,-101
BlueUp-01-016166,28-11-2017,16:43:16,-101
BlueUp-01-016166,28-11-2017,16:44:38,-99
BlueUp-01-016167,28-11-2017,16:44:49,-102
BlueUp-01-016167,28-11-2017,16:46:29,-93
BlueUp-01-016167,28-11-2017,16:46:51,-99
BlueUp-01-016167,28-11-2017,16:47:19,-98
BlueUp-01-016167,28-11-2017,16:47:21,-97
BlueUp-01-016166,28-11-2017,16:47:30,-93
BlueUp-01-016167,28-11-2017,16:47:33,-97
BlueUp-01-016166,28-11-2017,16:47:40,-100
BlueUp-01-016167,28-11-2017,16:47:43,-98
BlueUp-01-016167,28-11-2017,16:48:3,-98
BlueUp-01-016167,28-11-2017,16:48:21,-98
BlueUp-01-016167,28-11-2017,16:49:23,-99
BlueUp-01-016167,28-11-2017,16:49:27,-102
BlueUp-01-016167,28-11-2017,16:49:45,-100
BlueUp-01-016166,28-11-2017,16:50:12,-98
BlueUp-01-016167,28-11-2017,16:50:39,-98
BlueUp-01-016167,28-11-2017,16:51:1,-100
BlueUp-01-016167,28-11-2017,16:51:3,-99
BlueUp-01-016167,28-11-2017,16:51:33,-100
BlueUp-01-016167,28-11-2017,16:51:45,-95
BlueUp-01-016167,28-11-2017,16:51:47,-91
BlueUp-01-016167,28-11-2017,16:51:59,-93
BlueUp-01-016167,28-11-2017,16:52:1,-93
BlueUp-01-016167,28-11-2017,16:52:13,-93
BlueUp-01-016167,28-11-2017,16:52:17,-93
BlueUp-01-016167,28-11-2017,16:52:19,-98
BlueUp-01-016167,28-11-2017,16:52:23,-94
BlueUp-01-016167,28-11-2017,16:52:25,-88
BlueUp-01-016167,28-11-2017,16:52:29,-97
BlueUp-01-016167,28-11-2017,16:52:31,-95
BlueUp-01-016167,28-11-2017,16:52:33,-91
BlueUp-01-016167,28-11-2017,16:52:35,-91
BlueUp-01-016167,28-11-2017,16:52:37,-94
BlueUp-01-016167,28-11-2017,16:52:43,-88
BlueUp-01-016167,28-11-2017,16:52:45,-91
BlueUp-01-016167,28-11-2017,16:52:47,-98
BlueUp-01-016167,28-11-2017,16:52:49,-96
BlueUp-01-016167,28-11-2017,16:52:51,-98
BlueUp-01-016167,28-11-2017,16:52:53,-96
BlueUp-01-016167,28-11-2017,16:52:57,-90
BlueUp-01-016167,28-11-2017,16:52:59,-91
BlueUp-01-016167,28-11-2017,16:53:1,-87
BlueUp-01-016167,28-11-2017,16:53:3,-89
BlueUp-01-016167,28-11-2017,16:53:5,-93
